Disability medical benefits,BE-01-00-00-00
"This category concerns options a person might have to claim exemptions during a bankruptcy, which would protect certain property (like home, car, benefits, retirement, licenses, insurance, or tools of trade) from being sold by a trustee during the process. There are federal rules on bankruptcy exemptions, and some states have local exemption systems. This category concerns how to claim certain exemptions, deal with objections to them, and how this determines how much a person will have to pay to creditors.",MO-13-06-00-00
"This category concerns the process of how to get and deal with an automatic stay against most creditors, collection agencies, and government entities when filing for bankruptcy. An automatic stay is a temporary federal injunction, that stops collection efforts against the person. The automatic stay does not extinguish debts, but pauses efforts to collect them. This category concerns limits to the automatic stay, how long it lasts, what happens if creditors violate the order, or how a creditor might remove it.",MO-13-07-00-00
"This category concerns the exceptions of which debts a person might not be able to discharge when filing for bankruptcy. The rules around exceptions will determine which debts a person must still have to pay back, even after going through a Chapter 7, 11, or 13 bankruptcy. This might be based on when the debts were incurred, what kinds of debts they are, or if the person used fraud or false pretenses when borrowing the money.",MO-13-08-00-00
"This category concerns the option and process of filing for Chapter 11 bankruptcy, which is typically used by larger businesses to reorganize themselves. Chapter 11 bankruptcies allow a company to stay active while repaying creditors and restructuring debts.",MO-13-09-00-00
"This category concerns the option and process of filing for Chapter 12 bankruptcy, which is typically used by family farmers or family fishermen to restructure their business. It requires the business to make payments to discharge debts.",MO-13-10-00-00
"This category concerns issues for small businesses that are either trying to incorporate, or dissolve.",BU-05-01-00-00
"This category concerns issues around running a arts and entertainment focused organization. This includes issues of incorporation, taxes and tax exemptions, agents and managers, contracts, and intellectual property.",BU-10-00-00-00
"This category concerns the process, options, and implications of starting a small for-profit company.",BU-05-02-00-00
This category concerns issues that a small for-profit business might have with its finances.,BU-05-03-00-00
This category concerns issues a small for-profit business might have with its taxes.,BU-05-04-00-00
"This category concerns issues a person might have with getting, using, or maintaining health insurance to pay for medical care. This is primarily about private health insurance (not those provided by government).",MO-02-01-00-00
This category concerns how people who have been through a disaster can access local and state (not FEMA) public benefits programs for housing and other needs assistance. This includes grants or money to cover disaster-related expenses and needs. ,DI-02-01-00-00
"This category covers how to apply for housing assistance from FEMA after a natural disaster. It covers who is eligible, what is needed to prove eligibility, and what kinds of assistance you can get to cover the cost of rent, home repairs, or access to government-provided housing.",HO-10-03-00-00
"This category covers how to access general funding assistance from FEMA's 'Other Needs' program, to get financial help to pay for medical and dental expenses, clothing, household items, school materials, public transport, car repair, moving and storage, cleaning property, or funeral expenses.",DI-02-02-00-00
"This category concerns the options, process, and limitations of getting a restraining order (otherwise known as a protection order, order of protection, or other terms) to address domestic violence and abuse.",FA-07-01-00-00
"This category concerns problems a person might face with employment, when they are dealing with domestic violence. This includes options to take leave to deal with family circumstances, providing security at work, and other issues that arise at a current job because of domestic violence problems.",FA-07-02-00-00
"This category concerns child custody issues that arise when there is a domestic violence or abuse situation in a family. It includes issues where a parent may be abusing a child, or when they have domestic violence-related court orders against them.",FA-07-03-00-00
"This category concerns financial support that one family member may get from another, related to domestic violence -- including around child support, spousal support, damages, public benefits, or other financial issues.",FA-07-04-00-00
"This category concerns issues that renters and landlords may face during a public health emergency, including dealing with special protections like eviction moratoriums, non-enforcement of eviction writs, and delayed rent. It also concerns what issues may happen in the immediate wake of the state of emergency, including options for financial assistance, mediation, special courts, or other programs to address possible displacement.",HO-10-01-00-00
"This category concerns issues that might arise in the unique situation of a public health emergency, where there are stay-at-home orders, quarantines, and other restrictions due to a disease. This includes issues and resources during the COVID-19 emergency.",FA-07-05-00-00
"This category concerns legal problems that might emerge during a public health emergency, like a pandemic or a quarantine (for example during the COVID-10 emergency). This includes unique problems that might arise when there are restrictions on leaving home, working, filing lawsuits, or using the court system; or when there are special protections for renters, workers, sick individuals, essential workers, vulnerable populations, or other people.",DI-08-00-00-00
This category concerns child care subsidies that low-income families might access through the Temporary Assistance for Need Families (TANF) program. States that administer TANF funds may use them to provide child care assistance (thought not all do).,FA-03-01-00-00
"This category concerns issues with getting occupational licenses to operate a day care or child care facility, including dealing with exemptions, problems, or other issues.",BU-01-01-00-00
"This category concerns when a parent of a child might face charges for abducting and/or kidnapping the child, when violating a custody order, and snatching a child or concealing a child. This may involve the federal law of Parental Kidnapping Prevention Act (PKPA) that deals with jurisdictional problems of child custody cases, when a parent might take a child across state lines in violation of a custody order.",FA-04-01-00-00
"This category concerns how to resolve 'emergency' issues around child custody, including around changing existing custody orders and getting a hearing with the court to make this temporary change.  It might regard imminent danger and harm the child faces, problems with the child's health and welfare, or other changed circumstances. A court hearing on the issue may result in an emergency order that will be temporary, and then reviewed at a full trial to determine if it should continue or be removed.",FA-04-02-00-00
This category concerns how to secure modifications of a child custody order and/or parenting plan.,FA-04-03-00-00
"This category concerns problems when parents of a child reside in separate states, and have issues with how custody will be decided. This includes questions about determining the child's home state, what state will have jurisdiction over the court matters, what the Uniform Child Custody Jurisdiction and Enforcement Act says, and what happens when a parent wants to move a child out of state.",FA-04-04-00-00
"This category concerns issues when more there might be competing jurisdictions (states or countries) that might be the 'home state' for a child, and make decisions about a custody order for a child.",FA-04-04-01-00
"This category is about how a court (that is not usually in the 'home state' jurisdiction of the child) may have temporary emergency jurisdiction over the custody case, if the child is in that state and there has been an emergency. This might have been because the child has been abandoned, abused, threatened, or has another emergency.",FA-04-04-02-00
This category concerns process and issues of enforcing a child custody order or parenting plan.,FA-04-05-00-00
"This category concerns how to get, deal with, extend, or end a temporary child custody order.",FA-04-06-00-00
"This category concerns issues on getting visitation rights to see a child, over which one does not have custody. This includes the non-custodial parent's visitation rights, setting reasonable visitation schedules, and having third-party visitation like by grandparents or other extended family members.",FA-04-07-00-00
"This category concerns how a person can try to enforce their visitation order, if there are issues with the other parent adhering to the order's terms.",FA-04-07-01-00
This category concerns the process and issues around making modifications to an existing child visitation order.,FA-04-07-02-00
"This category concerns the process and options of getting a visitation order (or sometimes known as a 'parenting time' order). This may be when parents are unable to agree with each other, and need the court to issue an official order to ensure the parent can have visitation and parenting time.",FA-04-07-03-00
"This category concerns getting third parties, like grandparents or extended family members, visitation with a child.",FA-04-07-04-00
"This category concerns how parental rights can be terminated. This includes the options and process of getting a court order that permanently ends the legal parent-child relationship. The termination might be based on abandonment, neglect, unfit parents, risk of injury to the child, sexual assault, or other issues.",FA-14-01-00-00
This category concerns the legal definitions of what kinds of actions rise to the level of 'domestic violence' or 'domestic abuse'.,FA-07-07-00-00
"This category concerns options and process for substance abuse treatment for those involved in a domestic violence situation. It might be for the victim of the abuse, or the person committing the abuse (or concerned that they might commit abuse). This is for issues with substances like alcohol and drugs.",FA-07-06-00-00
"This category concerns issues when one parent wants to get child support payments safely from another parent, when there has been domestic abuse towards the parent or child. This includes issues around waiving of the usual requirements or pursuing the child support in a more protective way.",FA-07-04-01-00
"This category concerns options for survivors of domestic abuse to possibly sue the perpetrator in civil court to get financial compensation (damages) for physical injuries or other losses they experienced because of the abuse. This includes possible lawsuits for intentional torts of assault, battery, or intentional infliction of emotional distress. ",FA-07-04-02-00
"This category concerns issues that arise over financial support between spouses/partners that are separating or getting divorced. This is separate from child support or division of property during the divorce. This category includes how to get short-term or long-term financial support established, setting up lump sum payments, dealing with Qualified Domestic Relations Order (QDRO) to divide marital property, and other court-ordered payments during the separation or divorce. ",FA-06-01-00-00
"This category concerns how domestic abuse affects the payment of spousal support, whether it is the person committing the abuse that is the person with obligations to pay, or is supposed to receive the payments. This includes possible 'rebuttable presumptions' that a person convicted of domestic violence should not receive a spousal support award. It also includes how domestic abuse may factor into a court's determination to grant interim or final spousal support to one spouse.",FA-07-04-03-00
"This category concerns legal options and restrictions that might apply when an abusive partner has (or is trying to access) guns, firearms, and other weapons. This includes how protective orders/restraining orders affect who can purchase or possess firearms and ammunition, and laws that prohibit people who have been convicted of certain domestic violence crimes from buying or owning firearms. It also includes notifications that domestic violence offenders must receive from governments about federal firearm prohibitions under the Violence Against Woman Act (2005). Some states have additional restrictions on access to weapons by those who have been convicted of domestic violence, or who have protective orders against them.",FA-07-08-00-00
"This category concerns how a person, law enforcement, and others can enforce a restraining or protection order. This includes concerns about government actors (including law enforcement and courts) giving 'Fill Faith and Credit' to protection order issued by other jurisdictions.",FA-07-09-00-00
"This category concerns how to initiate a court action to get a protection (or restraining) order. This may also be known as 'initial pleadings' or 'filing a petition' with the court, in order to open a case and begin the process of getting a protection order.",FA-07-01-01-00
"This category concerns how a person can modify the original pleading (or complaint) that they had submitted to the court, in order to initiate the process of getting a protection (or restraining) order.",FA-07-01-02-00
"This category concerns the options, process, and consequences of modifying a temporary protection (or restraining) order that a person has gotten through the courts.",FA-07-01-03-00
"This category concerns how a person can extend a 'final' protection (or restraining) order, to last for a longer period of time, past the current expiration date.",FA-07-01-04-00
"This category concerns how a person can change or terminate the finalized protection (or restraining) order. This may be done by the person who has the order against them, to ask the court to limit the order because it is too broad or burdensome.",FA-07-01-05-00
"This category concerns how a spouse or a child of a US citizen might be eligible to apply for Legal Permanent Resident status (LPR, or green card), based on the Violence Against Women Act (VAWA). VAWA also provides that a spouse or child can apply for a 'battered spouse or child waiver' that lets the person with conditional LPR status (often when the marriage is less than 2 years old) -- continue with their LPR status without the other spouse's support. It also includes U-Visa options, with green card options for victims of crimes (including domestic violence).",IM-12-01-00-00
"This category concerns options for a spouse or child of a US citizen or a US Legal Permanent Resident (green-card holder) -- to end the removal proceedings against them. This involves protections under the Violence Against Women Act (VAWA), that allow the spouse or child who is currently in removal proceedings before an immigration judge, to stop these proceedings and to begin an application for legal permanent residency (green card).",IM-12-02-00-00
"This category concerns how a (non-citizen) victim of a crime in the US may be eligible to apply for a U-visa status, that allows a person to stay in the the country legally for up to 4 years (which can be extended), and also apply for lawful permanent residency (green card) after three years on the status. Victims of domestic violence may qualify for U-Visa status, if they have suffered substantial physical or mental abuse that constitutes a crime, and cooperate with the law enforcement regarding this crime.",IM-12-01-01-00
"This category concerns the definition, options, and process of a common law marriage -- in which a couple lives together for a period of time, hold them out to others as 'being married', but have not formally gone through the process of getting a marriage license. Not all states recognize common law marriages, and they have different requirements for establishing this type of marriage.",FA-10-01-00-00
This category concerns how an adult can legally change their name.,FA-11-01-00-00
This category concerns how a child (a minor under the age of 18) can have their name changed.,FA-11-02-00-00
This category concerns the process and options for an adult to change their gender legally.,FA-11-03-00-00
"This category concerns how to change the gender of a child (or a minor, under the age of 18), including how to do so if you are a guardian or a dependency attorney for the child.",FA-11-04-00-00
"This category concerns issues around getting, maintaining, and ending a license to operate a business legally (other than a child care/day care business).",BU-01-02-00-00
"This category concerns exemptions for child care or day care providers, in which certain providers do not have to get the typical license to operate a care facility. Different states will have different rules about what kinds of groups or situations are exempt from the license requirement.",BU-01-01-01-00
This category concerns the process and issues with getting licensed to provide child care or day care facilities.,BU-01-01-02-00
"This category concerns license process, eligibility, and rules for someone who wants to purchase or posses a firearm (gun).",G0-01-01-00-00
"This category concerns the process and options of getting a license or other official registration for a vehicle, like a car, so that it can be legally permitted to be used.",TR-04-05-00-00
"This category concerns issues around divorce that arise when one or both of the spouses belongs to a Native American Tribe. This includes whether the tribe has jurisdiction over the case, to divide assets, ",NA-03-01-00-00
"This category concerns options and protections for victims of domestic violence who are facing housing discrimination. This could include being evicted from housing, or denied admission to housing, because of violence that has occurred.",FA-07-10-00-00
"This category concerns exemptions that domestic violence victims may have when in the Temporary Assistance for Needy Families (TANF) public benefits program. This includes possible exemption from TANF's usual work and training requirements, like those as part of the IMPACT program. It might also mean that there is an additional extension of TANF benefits possible.",FA-07-04-04-00
"This category concerns special programs, rules, and eligibility for unemployment benefits (like compensation funds or insurance) that are instituted during a state of emergency (like that of the COVID-19 public health crisis). This includes newly expanded eligibility for benefits, new special programs for those unemployed because of the emergency, or the extension of time on which a person can be on benefits.",BE-04-10-00-00
"This category concerns issues of how to apply for benefits through an unemployment insurance program in a given state. Unemployment insurance pays money if a person loses a job through no fault of their own, and they meet eligibility requirement. This category includes the decision of which state to file for benefits in, what process to follow, and other issues around the application.",BE-04-01-00-00
"This category concerns who is eligible to receive unemployment insurance benefits, after losing a job through no fault. Each state may have different eligibility requirements.",BE-04-02-00-00
"This category concerns the eligibility standard of a person being 'Able to Work' in order to claim unemployment benefits (unemployment insurance). This category concerns how to understand what it means to be 'able to work' or 'available to work', and how a person's application will be evaluated with this standard. The standard may differ state to state.",BE-04-02-01-00
"This category concerns how much money a person may receive through an unemployment insurance benefits program. It includes the earnings-based calculations that a state's unemployment insurance program uses, additional benefits that states provide for specific purposes, and the length of time that a person might receive these benefits.",BE-04-03-00-00
"This category concerns the options, reasons, and process a person can expect, if they applied for their state unemployment insurance benefits, but were denied or disqualified by the state agency. This includes understanding the reason that the state gives, and the options a person has to appeal this decision (or that their former employer can appeal).",BE-04-05-00-00
"This category concerns issues around enforcing child support orders, including around tax intercepts, laws like URESA and 4-D, private enforcement, and other issues.",FA-05-01-00-00
This category concerns issues when a person goes to a child support court (or IV-D or 4-D court) to deal with an issue around child support enforcement.,FA-05-01-01-00
"This category concerns issues in a particularly type of child support cases (known technically as IV-D cases), in which the parent with custody of the children receives assistance from the state's agency that helps to enforce child support. This support might be for locating the other parent, establishing paternity, or establishing and enforcing the child support order. ",FA-05-01-02-00
"This category concerns private measures a parent might take to enforce a child support order, like through a private child support collection agency or private attorney.",FA-05-03-00-00
"This category concerns how a parent who doesn't have custody of their children, might have their federal income tax refund checks intercepted. They may also have lottery winnings or other money that the federal or state government owes them intercepted, in order to pay for child support payments they owe.",FA-05-01-04-00
"This category concerns issues of collecting child support payments in other states (than the original child support order was made). This includes the Uniform Reciprocal Enforcement of Support Act (URESA), a law that lets a parent enforce a child support order in different states.",FA-05-01-05-00
"This category concerns how a person can ask for child support through a petition to the court, and how the other parent can respond to such a petition. This includes the court process to follow, the hearings, establishing an agreement, and responding to the other partners' requests.",FA-05-02-00-00
This category concerns whether and how a parent can modify a child support order or arrangement. It also concerns how the other parent can respond to an attempt to modify the arrangement.,FA-05-04-00-00
"This category concerns the guidelines that have states set rules for how child support arrangements are calculated and enforced.  This includes the financial models that each state establishes, like based on income or needs. It also covers the judges' discretion in deciding how to use different models, and how a parent can challenge the guidelines.",FA-05-05-00-00
"This category concerns issues that a custodial parent might have with child support, other than how to get child support, modify arrangements, or enforce an order. This might include questions around termination of child support, remarriage, finding help, or other issues.",FA-05-06-00-00
"This category concerns other issues that a parent without custody over the child might have with child support, other than responding to petitions for it, modifying it, or dealing with enforcement of it. These issues might be around remarriage, moving home, bankruptcy, or the child getting older.",FA-05-07-00-00
"This category deals with how married couples can officially separate from each other through a court process. It covers the rights and obligations the separated spouses have to each other, and how it differs from a permanent end to the marriage or from a more informal separation.",FA-06-02-00-00
"This category covers how spouses that are going through a formal, legal separation can divide property among each other, the different state rules on property division, and other issues.",FA-06-02-01-00
"This category covers how separating spouses can formally divide their property using a property settlement agreement. It covers how this written contract can be made, contested, or ended.",FA-06-02-02-00
"This category concerns the options and process of getting divorced, or formally ending a marriage between two spouses. It covers contested and uncontested divorce paths, what happens afterward, how it affects finances and taxes, and other issues that arise.",FA-06-03-00-00
"This category covers how spouses can have the court formally say that their marriage (or domestic partnership) is not legally valid. The annulment will make it as if the marriage/partnership never happened because it was never legal. This category covers legal reasons for which spouses can get an annulment, like incest, bigamy, age at marriage, prior marriages, fraud, incapacity, or other issues. It also covers the process of getting an annulment, statute of limitations on filing for one, and other issues.",FA-06-04-00-00
"This category covers how property and debt are divided when two spouses separate or divorce. This includes topics like which property is subject to division, dealing with special rules like community property law, creating property settlements, contesting agreements, dealing with pensions, dividing debt obligations, and other issues that may arise when spouses end their marriage.",FA-06-05-00-00
"This category covers how spouses that are divorcing or separating can formally agree to a division of their property, in a binding contract.",FA-06-05-01-00
"This category concerns how certain states' community property laws apply to spouses' money, real estate, and personal property. It covers the definition of what counts as community properties, how things will be divided if spouses separate or divorce, and what happens if one spouse dies. ",FA-06-05-03-00
"This category covers questions around how a spouse can get long-term financial support, depending on local state rules about long-term or short-term marriages, the possibility of permanent alimony, or other issues. This is different than short-term support, because it is not a temporary arrangement during the divorce process but rather an official arrangement after the divorce is final.",FA-06-01-01-00
"This category covers the possibility of when a spouse makes a single, all-encompassing lump sum payment to the other (rather than having recurring payments). This includes issues around calculating this amount, taxes on it, alimony buyouts, and other topics.",FA-06-01-02-00
"This category concerns how divorcing spouses can divide assets held in pensions or retirement plans, using a formal Qualified Domestic Relations Order (QDRO). This includes both establishing the division during the divorce, or afterward when an ex-spouse is not receiving required support payments. The category covers when a judge can issue a QDRO to collect delinquent support, and which kinds of retirement funds can be subjected to QDRO.",FA-06-01-03-00
"This category covers short-term support that one spouse may have to pay to another during the divorce process. Once the divorce is over, the short-term or temporary support should end and a longer-term financial arrangement may begin.",FA-06-01-04-00
"This category concerns issues that children of divorcing or separating spouses may face during the legal process. This can include the determination of the best interest of the child, case management orders, parental rights and responsibilities, and other problems that may arise.",FA-06-06-00-00
"This category concerns the formal standard that courts will use, called the 'Best Interest of the Child'. It covers what this standard means, how it will be decided, what parents can prove regarding it, and what implications it has for child custody and other issues during the divorce process.",FA-06-06-01-00
"This category covers orders that may be issued by a judge during possible case management conferences in a divorce process that relate to children's issues. This may include appointment of a guardian ad litem to represent children's issues, social investigations, resolve disputes, or keep the process moving.",FA-06-06-02-00
"This category covers how mediation may be used during a divorce process to help parents resolve issues around parenting and create a parenting plan in the child's best interests. This includes details on state-specific rules about whether mediation is required, how mediation works, and what kind of settlement or agreement may be created during it.",FA-06-06-03-00
"This category concerns how parents' rights and responsibilities change during and after a divorce process. This includes how spouses and courts will determine what the new arrangement is for each parent's relationship to their child, possibly attending court-sponsored parenting classes, and other new obligations parents might have toward their child.",FA-06-06-05-00
"This category covers how spouses' debt may be divided during the divorce or separation process. This includes how the court will decide who is responsible for paying specific credit card, medical, mortgage, auto loan, and other bills.",FA-06-05-04-00
"This category concerns the definition and process of a contested divorce, in which spouses cannot agree, either about whether to get divorced, or the terms of the divorce (like the division of assets and debts, alimony, child support, or custody). This includes how to contest a divorce, what the court procedure will be, and other issues that arise.",FA-06-03-01-00
"This category covers the definition and process of getting an uncontested divorce. This is when both spouses agree on getting the divorce, and agree on the key areas of division of property, child support, spousal support, custody, and other topics. This includes how court hearings will work, what evidence you need, whether you need a lawyer, and other issues.",FA-06-03-02-00
"This category covers how to use or respond to a subpoena in a divorce, which involves requesting documents or evidence to be presented in the court.",FA-06-03-03-00
"This category concerns how spouses can file taxes, take exemptions and exclusions, and deal with other divorce-related tax issues.",FA-06-03-04-00
This category concerns motions that a person might file after the divorce has been finalized to deal with issues they consider still in need of court involvement. It might mean the motions that an ex-spouse files to re-open questions that had been in the original divorce judgment.,FA-06-03-05-00
"This category covers how a spouse may consolidate separate court cases into a single one, during a divorce process. This might mean the consolidation of a divorce case with a child custody case, or with a domestic violence protection order, so that the court can resolve all issues at once.",FA-06-03-06-00
This category covers how a spouse can reopen a divorce that had already been finalized if there has been new evidence that could change the outcome of the original hearing and judgment.,FA-06-03-07-00
This category concerns how to stop or pause divorce proceedings in court. A stay is a ruling in the case that temporarily stops further actions in the legal process. It can be lifted and the case proceedings may start again later.,FA-06-03-08-00
"This category concerns what venue, or location, the divorce case should be filed in, or how the venue can be changed.",FA-06-03-09-00
This category concerns how spouses can divide real estate through deeds and abstracts while getting divorced. It covers how the ownership of the property might be transferred.,FA-06-05-05-00
This category concerns how spouses' pensions or other retirement accounts may be divided during a divorce process.,FA-06-05-07-00
This category covers how different states define what property is considered 'marital' or 'non-marital' when it comes to how this property will be divided during a divorce.,FA-06-05-08-00
"This category covers those states that have laws following an 'Equitable Distribution' standard in how property is divided up during a divorce. This is in comparison with community property law. This category covers how this standard affects how a court decides which property to divide, and how to divide it.",FA-06-05-09-00
"This category concerns how an ex-spouse may request the court to reconsider a property judgment, change its permanency, or set it aside.",FA-06-05-10-00
"This category concerns how a spouse may stop another from hiding or destroying assets during the divorce process, to change how the property will be divided. This includes using a preliminary injunction in the court, to have the judge possibly stop this behavior and prevent fraud. It also covers what happens if a spouse violates this injunction from the court, including penalties and criminal charges that spouse might face.",FA-06-05-11-00
"This category covers the options and process around having a Guardian Ad Litem appointed to represent a child in court cases. This could be for an adoption, child custody, child support, divorce, emancipation, or visitation case. This category covers how and when the court may appoint a Guardian Ad Litem, what they do, and how they may be removed or the appointment ended.",ES-03-03-01-00
"This category covers how a Guardian Ad Litem may be appointed for an adult facing a housing case (usually an eviction) who is unable to advocate for themselves because of an issue like mental illness or age. This category covers how and when this appointment might happen, what the Guardian Ad Litem does, and how the appointment may be terminated.",ES-03-02-02-00
"This category is about problems that a spouse or parent might have after a divorce case has ended with a judgment, especially if the other person is not following it. It might be issues around enforcing the order, modifying it, or holding the other person in contempt for not obeying the order.",FA-06-07-00-00
"This category is about how one ex-spouse, partner, or parent may try to address problems with another person not following a family law court order, by asking the court to hold them in contempt. This covers what one needs to show to request a contempt of court ruling, what happens at the hearing, and the consequences of being found in contempt.",FA-06-07-01-00
"This category concerns what happens if the court rules that a person is in contempt of a family law judgment, like that for divorce, custody, or otherwise. It covers the kinds of things that the other person might get, or what the person in contempt must do -- like get counseling, complete a parenting class, pay fees, or spend time with children.",FA-06-07-01-01
"This category concerns how one person may ask the court to hold another for being in contempt of a court order (like that for a divorce judgment), regarding financial issues. This could be if the person does not hand over required financial documents, failing to pay ordered money support, or otherwise.",FA-06-07-01-02
"This category concerns how a person might be held to be in contempt of court for violating a family law order (like that for child custody or divorce) related to children's issues. It could be about not following visitation schedules, custody orders, parenting plans, or other child-related orders. This category covers the process and consequences of being held in contempt.",FA-06-07-01-03
"This category concerns how to deal with issues around enforcing another spouse to follow a final divorce or separation judgment. This includes how one person can try to ask the court to enforce the order, in terms of financial or children's issues.",FA-06-07-02-00
This category concerns how a person may try to change a final judgment after the end of a divorce or separation process.,FA-06-07-03-00
"This category concerns the rights that teenage (and potentially minor-age) parents have, in regards to their child. It includes questions about emancipation, relationships with the teen parents' family, custody, and support obligations when one or both of the parents is teenage. It covers state laws that determine if a parent is old enough to have to pay child support.",FA-14-02-00-00
"This category is about how to set up and use a living trust, to manage assets while someone still alive. It includes how assets may be distributed, and what kinds of types there are, including revocable and irrevocable living trusts. It also covers how a living trust is different from a will or a guardianship.",ES-04-01-00-00
"This category covers how a legal guardianship of a minor child may be used if the parents are unable to provide for the child's safety and protection, and the guardian then becomes responsible for the child's care.",ES-03-03-03-00
"This category is about the process of getting a guardianship (or conservatorship, in some states) of an adult who may have a severe mental illness. This includes the process to determine if the person has capacity to care for their own health, safety, and property. It includes different types of guardianships, and who can become this guardian or conservator.",ES-03-02-01-02
"This category concerns the process of suing someone, or being sued, for injuries around a car accident. It could be injuries to a person's body or to the property. This covers the steps to take in the lawsuit, what kinds of claims are possible, and what resolutions and consequences there might be.",TO-04-01-00-00
"This category covers the federal rights and protections people under the federal Fair Housing Act have when they are renting and buying a home, getting a mortgage, seeking housing assistance, or engaged in other housing-related actions. It includes protections based on a person's race, color, national origin, religion, sex, familial status, and disability. This category covers when these protections apply, how to make use of them, and what happens if you're accused of violating them.",HO-01-01-00-00
"This category covers a state's protections to a person looking to rent a home, buy a home, get housing assistance, or in other housing-related activities. These laws may vary state by state, and this category covers what a state's protections are and how to make use of them (or how to respond if you are accused of violating them).",HO-01-02-00-00
"This category covers a local city, county, parish or municipality's protections to a person looking to rent a home, buy a home, get housing assistance, or in other housing-related activities. These laws may vary by local jurisdiction, and this category covers what the local jurisdiction's protections are and how to make use of them (or how to respond if you are accused of violating them).",HO-01-03-00-00
"This category covers options for people who need immediate help in paying for housing costs like rent or utilities. This includes what options are available, who is eligible for them, how to access them, and what limitations they have on them.",HO-03-01-00-00
"This category covers local city, county, parish, or municipality programs that might help a person with housing costs on an emergency, temporary basis -- like for rent, utilities, and other costs.",HO-03-01-01-00
"This category covers state programs that might help a person with housing costs on an emergency, temporary basis -- like for rent, utilities, and other costs.",H)-03-01-02-00
"This category is about defenses that a tenant might raise when they are facing eviction, around whether they were given adequate notice before the lawsuit was filed, if enough time passed between the notice and the lawsuit's filing, or if there were other procedural problems with how the lawsuit and hearing proceeded.",HO-02-04-01-00
"This category covers what rights a person with a disability may have when it comes to their home, including reasonable accommodation requests they can make from their landlord, defenses they can raise in an eviction, access standards, and dealing with discrimination.",RI-03-01-00-00
"This category covers how a tenant may defend themselves against an eviction if there is an issue of 'reasonable accommodation', for when the tenant has engaged in behavior related to their disability. If the landlord is able to alter their policies and rules to accommodate the tenant's disability, they must make this accommodation. This could include accommodation of wheelchairs, service or support animals, time needed to get assistance or treatment, or other issues. This category covers how to ask for reasonable accommodation and use it as a defense in a court action.",HO-02-04-02-00
"This category covers the defenses a tenant can raise in an eviction, about problems with their living conditions. This may also be referred to as Warranty of Habitability defenses.",HO-02-04-03-00
"This category concerns the legal options and rights a person may have if they have experienced discrimination around housing based on their race. This could be when they were trying to rent a home, get housing assistance, take out a mortgage, buy a home, or other housing-related activities. It includes the practice of redlining.",HO-01-04-00-00
"This category covers issues around minorities being treated differently, regarding access to credit or mortgages to buy homes, or being targeted with predatory lending for homes. This could be in regards to discriminatory rent-to-own schemes, or unfair mortgage lending in minority communities. This category covers legal options, prohibitions, and types of relief for redlining.",HO-01-05-00-00
"This category covers one-strike eviction policies that people living in public federally subsidized (like, Section 8) housing might face. This covers the details of this policy, who it applies to, and what kinds of behavior might count under it. It also covers how a person might contest an eviction based on the policy.",HO-02-02-04-00
"This category covers options and rights for people in regards to public housing, in which the government directly provides a rental home to a person and acts as their landlord. This includes issues around who can get public housing, access to the rental, eviction from it, how rent amounts are calculated, and other issues. It also includes issues of building, demolishing, or rehabilitating public housing units.",HO-03-02-00-00
"This cateogry covers options and rights for tenants to receive subsidized housing, like in the form of Section 8 or Housing Choice Vouchers. The government is not directly their landlord (like public housing), but instead helps them pay their rent with a private landlord. This category covers eligibility for subsidies, access to the home, terminations, security charges, rent definitions, and other issues.",HO-03-03-00-00
"This category covers federal rent subsidies from the Rural Economic and Community Development rent assistance programs (formerly FMHA housing programs). It covers how people can access this assistance for rental housing in rural communities, how rent is calculated, what security deposits are required, and what eviction procedures are.",HO-03-04-00-00
"This category concerns issues around security deposits, including how much a landlord can ask for, what they can deduct from it, how a tenant can get it back, and how to raise issues around this.",HO-06-01-00-00
"This category concerns security deposit/charge issues that may arise for tenants in federally subsidized housing. This includes questions about how much landlords can charge for a deposit, how to get assistance to pay it, how it can be returned, and what can be deducted from it.",HO-06-01-01-00
"This category concerns security deposit/charge issues that may arise for tenants in public housing. This includes questions about how much housing authorities can charge for a deposit, how to get assistance to pay it, how it can be returned, and what can be deducted from it.",HO-06-01-02-00
"This category concerns problems that a person may have as a tenant in a rental home. This includes issues with heat, air, water, plumbing, pests, major appliances, locks, doors, or other essential features. It may also be known as a ""Warranty of Habitability"" issue.",HO-05-01-00-00
"This category concerns problems that a person may have as a tenant in a federally-subsidized (Section 8 voucher) rented home. This includes issues with heat, air, water, plumbing, pests, major appliances, locks, doors, or other essential features. It may also be known as a ""Warranty of Habitability"" or ""Quality Standards"" issue.",HO-05-01-01-00
"This category concerns problems that a person may have as a tenant in a rental that is subsidized by a federal rural rental assistance program (formerly known as FMHA Housing program). This includes issues with heat, air, water, plumbing, pests, major appliances, locks, doors, or other essential features. It may also be known as a ""Warranty of Habitability"" issue.",HO-05-01-02-00
"This category covers issues that a person may have as a tenant in public housing, when the government/housing authority is their landlord. This includes issues with heat, air, water, plumbing, pests, major appliances, locks, doors, or other essential features. It may also be known as a ""Warranty of Habitability"" issue, or as a Quality Standards issue.",HO-05-01-03-00
This category concerns how a tenant can raise code compliance violations if they think their landlord is providing a rental home that goes against the codes for housing quality standards. It also includes the protections that tenants may have about rent control or protection from retaliation if their landlord is in violation of the housing code.,HO-05-01-04-00
